Start date,Total bicicle usage(seconds),Number of bikes,Proportion members,Usage per bike(seconds)
01-01-2011,1451716.0,959,0.6558915537017727,1514.0
01-01-2012,3486715.0,2260,0.695575221238938,1543.0
01-01-2013,1806631.0,1964,0.7856415478615071,920.0
01-01-2014,3107315.0,3011,0.757555629359017,1032.0
01-01-2015,2559178.0,2578,0.7831652443754848,993.0
01-01-2016,4119373.0,3220,0.6897515527950311,1279.0
01-01-2017,5882572.0,4063,0.6111247846418902,1448.0
01-01-2018,1172386.0,1213,0.8804616652926628,967.0
01-01-2019,6843877.0,4540,0.7614537444933921,1507.0
01-01-2020,4901318.0,4135,0.8084643288996373,1185.0
01-02-2011,849244.0,1331,0.9646882043576258,638.0
01-02-2012,3715276.0,4545,0.9331133113311331,817.0
01-02-2013,1944761.0,3161,0.9734261309712117,615.0
01-02-2014,4953603.0,5342,0.8564208161737177,927.0
01-02-2015,2507477.0,3587,0.9250069696124895,699.0
01-02-2016,3458275.0,4604,0.9587315377932233,751.0
01-02-2017,5967818.0,8231,0.9430202891507715,725.0
01-02-2018,5706937.0,7732,0.9467149508535955,738.0
01-02-2019,1724064.0,2467,0.9825699229833806,699.0
01-02-2020,5359057.0,5717,0.899597691096729,937.0
01-03-2011,1529668.0,1832,0.9252183406113537,835.0
01-03-2012,4068138.0,4935,0.9343465045592705,824.0
01-03-2013,3273276.0,4886,0.9326647564469914,670.0
01-03-2014,4170670.0,4560,0.8232456140350877,915.0
01-03-2015,490057.0,768,0.9375,638.0
01-03-2016,7883226.0,8588,0.9201210992081975,918.0
01-03-2017,7306104.0,8977,0.9036426423081207,814.0
01-03-2018,6020631.0,7814,0.9267980547734835,770.0
01-03-2019,3016029.0,4069,0.9515851560579995,741.0
01-03-2020,5509538.0,5322,0.8654641112363773,1035.0
01-04-2011,2047246.0,2192,0.8599452554744526,934.0
01-04-2012,9437380.0,5979,0.6074594413781569,1578.0
01-04-2013,6653768.0,6368,0.7953831658291457,1045.0
01-04-2014,8856090.0,9371,0.8391847188133603,945.0
01-04-2015,10196058.0,9877,0.8197833350207553,1032.0
01-04-2016,13388734.0,10874,0.76623137759794,1231.0
01-04-2017,17118131.0,10321,0.5631237283208992,1659.0
01-04-2018,17550501.0,10468,0.5149980894153611,1677.0
01-04-2019,9113371.0,8865,0.9068245910885505,1028.0
01-05-2011,4706949.0,3295,0.6549317147192716,1429.0
01-05-2012,5163748.0,5693,0.8852977340593712,907.0
