Date,Total bicicle usage(seconds),Number of trips,Proportion members,Usage per bike(seconds),Week day,prcp,t max,t min,average Temp,Holiday,Holiday/Weekend,Year,Month,Week,Day,membership,Temp Level,Rain Level,Day of year,Season
2010-09-20,242253.0,212,0.8396226415094341,1143.0,Monday,0.0,25.6,12.8,19.200000000000003,0,0,2010,9,38,20,high,nice,dry,263,summer
2010-09-21,414304.0,324,0.6635802469135802,1279.0,Tuesday,0.0,25.0,8.3,16.65,0,0,2010,9,38,21,low,nice,dry,264,autumn
2010-09-22,600602.0,377,0.6896551724137931,1593.0,Wednesday,0.0,32.8,16.1,24.45,0,0,2010,9,38,22,low,nice,dry,265,autumn
2010-09-23,650596.0,373,0.6675603217158177,1744.0,Thursday,0.0,31.7,17.8,24.75,0,0,2010,9,38,23,low,nice,dry,266,autumn
2010-09-24,704149.0,362,0.569060773480663,1945.0,Friday,0.0,35.0,21.1,28.05,0,0,2010,9,38,24,low,nice,dry,267,autumn
2010-09-25,1403640.0,539,0.5046382189239332,2604.0,Saturday,0.0,32.8,21.7,27.25,0,1,2010,9,38,25,low,nice,dry,268,autumn
2010-09-26,1077956.0,537,0.5716945996275605,2007.0,Sunday,0.15,22.8,15.6,19.2,0,1,2010,9,38,26,low,nice,light,269,autumn
2010-09-27,462573.0,286,0.7762237762237763,1617.0,Monday,1.03,25.0,16.7,20.85,0,0,2010,9,39,27,medium,nice,heavy,270,autumn
2010-09-28,429673.0,411,0.7542579075425792,1045.0,Tuesday,0.03,27.2,16.7,21.95,0,0,2010,9,39,28,medium,nice,light,271,autumn
2010-09-29,566468.0,422,0.8175355450236966,1342.0,Wednesday,0.07,20.0,11.7,15.85,0,0,2010,9,39,29,high,nice,light,272,autumn
2010-09-30,182515.0,159,0.8805031446540881,1148.0,Thursday,6.02,25.6,17.8,21.700000000000003,0,0,2010,9,39,30,high,nice,heavy,273,autumn
2010-10-01,1120810.0,578,0.7162629757785467,1939.0,Friday,0.02,22.8,11.7,17.25,0,0,2010,10,39,1,medium,nice,light,274,autumn
2010-10-02,2148617.0,839,0.5268176400476758,2561.0,Saturday,0.0,21.1,7.8,14.450000000000001,0,1,2010,10,39,2,low,cold,dry,275,autumn
2010-10-03,1059494.0,505,0.5603960396039604,2098.0,Sunday,0.26,17.8,7.8,12.8,0,1,2010,10,39,3,low,cold,light,276,autumn
2010-10-04,377844.0,326,0.8220858895705522,1159.0,Monday,0.62,12.2,10.0,11.1,0,0,2010,10,40,4,high,cold,light,277,autumn
2010-10-05,591504.0,624,0.8621794871794872,948.0,Tuesday,0.0,15.6,10.0,12.8,0,0,2010,10,40,5,high,cold,dry,278,autumn
2010-10-06,604694.0,663,0.8582202111613876,912.0,Wednesday,0.02,15.6,9.4,12.5,0,0,2010,10,40,6,high,cold,light,279,autumn
