,Date,prcp,t max,t min
0,2020-01-01,0,9.4,-1.6
1,2020-01-02,0,12.2,-3.8
2,2020-01-03,64,11.7,8.3
3,2020-01-04,48,15.0,7.2
4,2020-01-05,0,7.2,-1.0
5,2020-01-06,0,12.2,1.1
6,2020-01-07,107,8.3,-2.1
7,2020-01-08,0,6.7,-1.6
8,2020-01-09,0,2.8,-4.9
9,2020-01-10,0,12.8,-0.5
10,2020-01-11,0,22.2,6.7
11,2020-01-12,74,21.1,8.3
12,2020-01-13,0,11.7,4.4
13,2020-01-14,15,7.8,3.3
14,2020-01-15,0,14.4,4.4
15,2020-01-16,0,12.2,2.2
16,2020-01-17,0,3.3,-3.2
17,2020-01-18,89,5.0,-3.2
18,2020-01-19,8,7.2,-3.2
19,2020-01-20,0,2.2,-4.9
20,2020-01-21,0,2.8,-7.1
21,2020-01-22,0,5.6,-7.1
22,2020-01-23,0,5.0,-6.0
23,2020-01-24,0,10.6,-2.1
24,2020-01-25,378,11.1,2.8
25,2020-01-26,0,8.9,0.6
26,2020-01-27,0,10.0,2.2
27,2020-01-28,0,7.2,2.2
28,2020-01-29,0,8.3,-1.6
29,2020-01-30,0,5.0,-2.7
30,2020-01-31,8,7.2,-1.0
31,2020-02-01,28,9.4,-1.6
32,2020-02-02,0,11.1,0.6
33,2020-02-03,0,19.4,-1.0
34,2020-02-04,15,19.4,8.9
35,2020-02-05,20,13.3,3.3
36,2020-02-06,163,6.1,3.3
37,2020-02-07,168,16.1,1.1
38,2020-02-08,0,7.2,-2.1
39,2020-02-09,0,10.0,-3.8
40,2020-02-10,74,9.4,5.6
41,2020-02-11,109,13.3,8.3
42,2020-02-12,20,10.0,3.9
43,2020-02-13,51,13.9,3.9
44,2020-02-14,0,5.6,-4.3
45,2020-02-15,0,1.7,-7.1
46,2020-02-16,0,12.2,-1.6
47,2020-02-17,0,12.8,0.6
48,2020-02-18,0,16.7,3.3
49,2020-02-19,0,12.2,0.0
50,2020-02-20,0,4.4,-2.7
51,2020-02-21,0,3.9,-4.9
